Grade;Area;Topic;Code;Description
 9-12;Foundations Theatre Course Standards ;Organize and develop artistic ideas and work;F.T.Cr.02;Choose and defend different criteria for evaluating media artwork. 
 9-12;Foundations Theatre Course Standards ;Refine and complete artistic work;F.T.Cr.03;Describe how media arts includes content from other academic disciplines (e.g., how one might use mathematical patterns to make images and sound in a media artwork). 
 9-12;Foundations Theatre Course Standards ;Select, analyze and interpret artistic work for presentation;F.T.P.04;Explain the relationship between media artworks and commercialization or propaganda (e.g. how memes get used to communicate political messages). 
 9-12;Foundations Theatre Course Standards ;Develop and refine artistic techniques and work for presentation;F.T.P.05;Generate original ideas that integrate aesthetic principles with individual personal style.
 9-12;Foundations Theatre Course Standards ;Convey meaning through the presentation of artistic work;F.T.P.06;Document personal strategies used regularly to organize one?s artistic ideas (e.g. Sketchbook, digital folders, etc.).
 9-12;Foundations Theatre Course Standards ;Perceive and analyze artistic work;F.T.R.07; Identify artistic challenges and reflect upon the advantages and disadvantages of different solutions. 
 9-12;Foundations Theatre Course Standards ;Interpret intent and meaning in artistic work;F.T.R.08;Create media productions by integrating content and form to support a central idea. 
 9-12;Foundations Theatre Course Standards ;Apply criteria to evaluate artistic work;F.T.R.09; Organize and plan a media arts exhibition that explores a personally meaningful theme, idea, or concept (e.g. identify and coordinate an artistic space, set up technology). 
 9-12;Foundations Theatre Course Standards ;Synthesize and relate knowledge and personal experiences to make art;F.T.R.10;Present a media arts piece that causes audience reflection by presenting different styles or viewpoints. 
 9-12;Foundations Theatre Course Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;F.T.R.11; Identify ways a contemporary media work pushes the boundaries of a genre and discipline. 
 9-12;Proficient Theatre Course Standards ;Generate and conceptualize artistic ideas and work;P.T.Cr.01;Analyze the ways in which cultural and personal perspectives and biases have an impact on how one understands a work of art. 
 9-12;Proficient Theatre Course Standards ;Organize and develop artistic ideas and work;P.T.Cr.02;Identify how bias, culture, and privilege can impact the criteria used to evaluate media artwork. 
 9-12;Proficient Theatre Course Standards ;Refine and complete artistic work;P.T.Cr.03;Explain the development of a personal aesthetic vision as a media artist and how that is represented in a piece. 
 9-12;Proficient Theatre Course Standards ;Select, analyze and interpret artistic work for presentation;P.T.P.04; Identify the historical and cultural context that caused the shifting of stylistic elements between artistic movements. 
 9-12;Proficient Theatre Course Standards ;Develop and refine artistic techniques and work for presentation;P.T.P.05;Improvise short melodic and rhythmic ideas that reflect characteristics of different genres. 
 9-12;Proficient Theatre Course Standards ;Convey meaning through the presentation of artistic work;P.T.P.06;Record decisions about accuracy of written music (e.g., adding reminder of key signature, or indicating beat subdivisions for a difficult rhythm). 
 9-12;Proficient Theatre Course Standards ;Perceive and analyze artistic work;P.T.R.07;Refine musical interpretations exploring different elements (e.g. dynamics and articulations). 
 9-12;Proficient Theatre Course Standards ;Interpret intent and meaning in artistic work;P.T.R.08; Identify basic strategies musicians use to practice and employ them in readying a musical work for performance. 
 9-12;Proficient Theatre Course Standards ;Apply criteria to evaluate artistic work;P.T.R.09;" Perform with accuracy and expression works from the vocal or instrumental literature with a level of difficulty of 2, on a scale of 1 to 6; or a comparable scale."
 9-12;Proficient Theatre Course Standards ;Synthesize and relate knowledge and personal experiences to make art;P.T.Co.10;Match a musical performance with expressed intent (e.g., wanting the audience to identify with an emotion). 
 9-12;Proficient Theatre Course Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;P.T.Co.11;Analyze how cultures are reflected in a diverse range of musical works. 
 9-12;Advanced Theatre Course Standards ;Generate and conceptualize artistic ideas and work;A.T.Cr.01;Explain how a musical work is connected to a particular cultural, historical context where it was created. 
 9-12;Advanced Theatre Course Standards ;Organize and develop artistic ideas and work;A.T.Cr.02;Develop criteria for a rubric for evaluating musical works (e.g., students create criteria for a performance that is juried by students). 
 9-12;Advanced Theatre Course Standards ;Refine and complete artistic work;A.T.Cr.03;Describe influences of one?s personal musical style and preferences. 
 9-12;Advanced Theatre Course Standards ;Select, analyze and interpret artistic work for presentation;A.T.P.04;Identify musical ideas from different cultures studied in history and social science (e.g., American native). 
 9-12;Advanced Theatre Course Standards ;Develop and refine artistic techniques and work for presentation;A.T.P.05; Explore ideas for interpreting a work (e.g. Improvise embellishments to musical passages).
